Name,AvgCountLine,AvgCountLineBlank,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,MaxCyclomatic,MaxInheritanceTree,PercentLackOfCohesion,RatioCommentToCode,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,"CountPathMin-divided-by-1,000","CountPathMean-divided-by-1,000","CountPathMax-divided-by-1,000,000",MaxNestingMin,MaxNestingMean,MaxNestingMax,Bugs
AbstractBucketJoinProc.java,38.0,3.0,3.0,7.0,7.0,3.0,2.0,40.0,2.0,1.0,2.0,0.0,4.0,3.0,26.0,1.0,73.0,0.17,0.0,4.4,10.0,1.0,13.4,49.0,0.0,0.0,0.0,0.0,3.1,6.0,0.0
CalcitePlanner.java,39.0,3.0,6.0,5.0,5.0,1.0,1.1,36.1,0.0,13.0,5.0,20.0,53.0,0.0,35.0,1.7,23.8,0.21,1.0,8.779069767441861,55.0,1.0,15.709302325581396,93.0,0.0,21.0,2.0,0.0,1.569767441860465,6.0,1.0
CommonJoinTaskDispatcher.java,49.0,5.0,12.0,7.0,7.0,5.0,2.0,51.0,0.0,1.0,1.0,0.0,7.0,0.0,22.0,2.0,80.0,0.5,2.0,4.444444444444445,11.0,1.0,16.555555555555557,68.0,0.0,0.0,0.0,0.0,2.333333333333333,4.0,0.0
ConvertJoinMapJoin.java,49.0,4.0,8.0,8.0,8.0,5.0,2.0,63.0,0.0,1.0,3.0,0.0,16.0,0.0,25.0,1.0,0.0,0.27,2.0,6.368421052631579,17.0,4.0,14.842105263157896,48.0,0.0,0.0,0.0,1.0,2.6842105263157894,6.0,1.0
DDLTask.java,38.0,3.0,6.0,6.0,6.0,2.0,2.0,86.66666666666667,0.0,3.0,11.0,7.0,90.0,0.0,69.0,1.3333333333333333,32.333333333333336,0.21,0.0,6.4363636363636365,32.0,1.0,15.872727272727271,121.0,0.0,11.0,1.0,0.0,1.6545454545454543,6.0,1.0
ExecReducer.java,67.0,5.0,6.0,9.0,9.0,1.0,2.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,2.0,36.0,0.22,9.0,16.0,24.0,10.0,26.33333333333333,37.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0
ExportSemanticAnalyzer.java,52.0,5.0,5.0,7.0,7.0,1.0,1.0,37.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,2.0,67.0,0.25,10.0,18.5,27.0,12.0,26.0,40.0,0.0,0.0,0.0,2.0,3.0,4.0,0.0
FastHiveDecimalImpl.java,66.0,8.0,11.0,7.0,7.0,4.0,1.0,26.0,0.0,1.0,133.0,0.0,24.0,0.0,76.0,2.0,99.0,0.28,2.0,11.300751879699249,27.0,1.0,4.827067669172933,19.0,0.0,7520.0,1000.0,0.0,1.5037593984962403,6.0,0.0
FileOutputCommitterContainer.java,37.0,3.0,7.0,6.0,6.0,1.0,1.0,66.0,0.0,1.0,1.0,0.0,15.0,0.0,31.0,3.0,84.0,0.26,1.0,6.652173913043479,17.0,1.0,13.304347826086955,68.0,0.0,0.0,0.0,0.0,2.260869565217391,8.0,1.0
GenMRSkewJoinProcessor.java,54.0,7.0,8.0,5.0,5.0,2.0,1.0,49.0,0.0,1.0,5.0,3.0,1.0,0.0,22.0,1.0,67.0,0.23,5.0,7.4,9.0,1.0,22.0,102.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0
GenMapRedUtils.java,37.0,3.0,10.0,5.0,5.0,2.0,1.25,36.5,0.0,2.0,46.0,5.0,4.0,0.0,39.0,1.0,37.0,0.38,1.0,6.0181818181818185,26.0,1.0,11.527272727272727,71.0,0.0,138.0,8.0,0.0,1.3818181818181818,6.0,1.0
